,total_sqft,bath,price,bhk
0,600.0,1.0,15.0,1
1,510.0,1.0,25.25,1
2,600.0,1.0,38.0,1
3,660.0,1.0,48.0,1
4,450.0,1.0,11.0,1
5,400.0,1.0,14.0,1
6,705.0,1.0,67.0,1
7,589.0,1.0,27.0,1
8,645.0,1.0,16.45,1
9,645.0,1.0,16.45,1
10,525.0,1.0,26.0,1
11,525.0,2.0,21.53,1
12,630.0,1.0,28.35,1
13,500.0,1.0,18.5,1
14,530.0,1.0,11.66,1
15,451.0,1.0,29.9,1
16,630.0,1.0,34.65,1
17,375.0,2.0,26.0,1
18,700.0,1.0,41.0,1
19,1200.0,2.0,85.0,1
20,525.0,1.0,27.25,1
21,595.0,1.0,33.32,1
22,540.0,1.0,36.0,1
23,715.0,1.0,46.0,1
24,416.0,1.0,18.5,1
25,834.0,1.0,60.0,1
26,711.0,1.0,36.0,1
27,469.0,1.0,25.0,1
28,750.0,1.0,40.0,1
29,600.0,1.0,50.0,1
30,425.0,1.0,20.03,1
31,600.0,1.0,60.0,1
32,667.0,1.0,36.85,1
33,445.0,1.0,28.0,1
34,650.0,1.0,33.0,1
35,525.0,1.0,30.0,1
36,630.0,1.0,40.0,1
37,582.5,1.0,15.135,1
38,1000.0,1.0,70.0,1
39,930.0,1.0,30.0,1
40,525.0,1.0,26.0,1
41,686.0,1.0,17.0,1
42,400.0,1.0,11.0,1
43,657.5,1.0,18.41,1
44,530.0,1.0,20.0,1
45,649.5,1.0,17.535,1
46,665.0,1.0,36.85,1
47,1200.0,1.0,20.0,1
48,600.0,1.0,22.0,1
49,400.0,1.0,12.0,1
50,950.0,1.0,40.0,1
51,711.0,1.0,38.0,1
52,500.0,1.0,14.0,1
53,750.0,1.0,56.25,1
54,700.0,1.0,38.0,1
55,697.0,1.0,45.0,1
56,710.0,1.0,27.0,1
57,565.0,1.0,35.0,1
58,1200.0,1.0,28.0,1
59,500.0,1.0,20.0,1
60,485.0,1.0,15.0,1
61,500.0,1.0,25.0,1
62,630.0,1.0,39.0,1
63,665.0,1.0,50.75,1
64,680.0,1.0,44.0,1
